sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2023-03-23_23:28:45_563 GMT+8
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
67,363818369,0.649588,-0.376809,-0.569535,-0.334187,0.154277,0.061376,0.018082
68,363835036,0.649665,-0.376815,-0.569517,-0.334061,0.155961,0.059622,-0.002483
69,363851703,0.649722,-0.376863,-0.569471,-0.333973,0.169252,0.053961,0.012168
70,363868370,0.649770,-0.376931,-0.569403,-0.333919,0.167225,0.078316,0.008838
71,363885037,0.649814,-0.376997,-0.569349,-0.333853,0.174979,0.051572,0.023095
72,363901704,0.649880,-0.377026,-0.569313,-0.333752,0.156608,0.058813,0.020497
73,363918371,0.649957,-0.377045,-0.569283,-0.333632,0.171659,0.071764,0.004250
74,363935038,0.649995,-0.377122,-0.569216,-0.333584,0.169125,0.069394,0.007820
75,363951705,0.650110,-0.377078,-0.569227,-0.333391,0.173962,0.058073,-0.001819
76,363968372,0.650144,-0.377154,-0.569152,-0.333367,0.184300,0.045605,0.012677
77,363985039,0.650200,-0.377199,-0.569099,-0.333299,0.186384,0.046172,0.014728
78,364001706,0.650204,-0.377326,-0.569005,-0.333308,0.184893,0.066746,0.026795
79,364018373,0.650280,-0.377323,-0.568988,-0.333191,0.175065,0.068174,0.008759
80,364035040,0.650317,-0.377381,-0.568945,-0.333126,0.181781,0.076366,0.009907
81,364051707,0.650376,-0.377396,-0.568929,-0.333023,0.192925,0.041476,-0.003819
82,364068374,0.650369,-0.377523,-0.568838,-0.333048,0.186967,0.072911,0.019664
83,364085041,0.650397,-0.377601,-0.568773,-0.333015,0.203618,0.062355,0.012475
84,364101708,0.650463,-0.377624,-0.568740,-0.332915,0.188759,0.065802,0.015848
85,364118375,0.650543,-0.377628,-0.568728,-0.332777,0.203343,0.074642,-0.000362
86,364135042,0.650598,-0.377662,-0.568682,-0.332708,0.202703,0.066474,0.017497
87,364151709,0.650590,-0.377807,-0.568571,-0.332749,0.209956,0.059791,0.004632
88,364168376,0.650638,-0.377839,-0.568554,-0.332647,0.197850,0.076537,0.006411
89,364185043,0.650653,-0.377936,-0.568474,-0.332645,0.202546,0.059200,0.016343
90,364201710,0.650687,-0.378005,-0.568416,-0.332598,0.184444,0.096250,0.005786
91,364218377,0.650725,-0.378068,-0.568357,-0.332554,0.203464,0.070884,0.003468
92,364235044,0.650761,-0.378118,-0.568316,-0.332497,0.215223,0.077969,0.011340
93,364251711,0.650792,-0.378171,-0.568271,-0.332452,0.197075,0.075627,0.015386
94,364268378,0.650816,-0.378237,-0.568217,-0.332424,0.223015,0.044212,0.003821
95,364285045,0.650853,-0.378270,-0.568193,-0.332353,0.207808,0.063283,0.013062
96,364301712,0.650864,-0.378348,-0.568132,-0.332346,0.207505,0.088908,0.007831
97,364318379,0.650887,-0.378408,-0.568084,-0.332317,0.226544,0.086328,0.017978
98,364335046,0.650922,-0.378457,-0.568042,-0.332264,0.215707,0.085958,0.011620
99,364351713,0.650953,-0.378498,-0.568008,-0.332215,0.206022,0.094335,0.010092
100,364368380,0.651024,-0.378482,-0.568004,-0.332100,0.213749,0.095778,0.012111
